ch06,Sexo_Varón,educ,estado_Ocupado,cobertura_medica_tiene,pobre,estado_civil_no_casado,jefe_ocupado,educ_jefe,jefe_mujer
3,1,0.0,0,1,0,1,1,13.0,1
43,0,13.0,1,1,0,1,1,13.0,1
51,1,13.0,1,1,0,1,1,13.0,1
11,0,7.0,0,1,0,1,1,13.0,1
25,1,16.0,0,1,0,1,1,19.0,1
20,1,14.0,0,1,0,1,1,19.0,1
53,0,19.0,1,1,0,1,1,19.0,1
64,0,19.0,0,1,0,1,0,19.0,1
67,1,19.0,0,1,0,1,0,19.0,1
40,1,19.0,1,1,0,1,0,19.0,1
25,1,13.0,1,0,1,1,0,12.0,0
21,0,14.0,0,1,1,1,0,12.0,0
90,0,0.0,0,1,0,1,0,0.0,1
56,1,8.0,1,0,0,1,0,0.0,1
32,1,8.0,1,0,0,1,1,8.0,0
51,0,11.0,1,1,0,1,1,8.0,0
28,1,13.0,1,0,0,1,1,8.0,0
29,0,13.0,0,0,0,1,1,8.0,0
20,1,11.0,0,0,0,1,1,8.0,0
45,1,13.0,1,1,0,1,1,13.0,0
61,1,11.0,0,1,0,1,1,13.0,0
46,1,12.0,1,1,1,0,1,12.0,0
41,0,12.0,0,1,1,0,1,12.0,0
15,1,11.0,0,1,1,1,1,12.0,0
62,0,8.0,0,1,0,1,0,8.0,1
61,0,15.0,0,1,0,1,0,15.0,1
24,0,17.0,0,1,0,1,1,16.0,1
19,0,14.0,0,1,1,1,1,12.0,0
72,0,16.0,0,1,0,1,0,16.0,1
48,1,13.0,1,1,0,0,1,13.0,0
51,0,15.0,1,1,0,0,1,13.0,0
26,1,14.0,1,1,0,1,1,13.0,0
67,1,8.0,0,1,0,0,0,8.0,0
77,0,8.0,0,1,0,0,0,8.0,0
54,0,16.0,1,1,0,1,1,16.0,1
71,1,13.0,0,1,0,1,0,13.0,0
67,1,0.0,0,0,0,1,0,0.0,0
30,1,13.0,1,1,0,1,0,0.0,0
10,1,5.0,0,1,0,1,0,0.0,0
53,0,19.0,1,1,0,1,1,19.0,1
24,0,15.0,1,1,0,1,1,19.0,1
60,0,8.0,0,1,0,1,0,8.0,1
57,1,8.0,0,1,0,1,0,8.0,1
35,1,0.0,0,0,0,1,0,8.0,1
91,0,8.0,0,1,0,1,0,8.0,1
71,0,6.0,0,1,1,1,0,6.0,1
75,1,8.0,0,1,1,1,0,6.0,1
55,1,6.0,0,1,0,0,0,6.0,0
54,0,6.0,0,1,0,0,0,6.0,0
29,1,13.0,1,0,0,1,0,6.0,0
32,0,13.0,1,1,0,1,0,6.0,0
22,1,13.0,1,0,0,1,0,6.0,0
61,0,13.0,0,1,0,0,0,13.0,1
25,0,15.0,0,0,0,1,0,15.0,1
30,0,11.0,0,1,1,1,0,6.0,1
32,1,13.0,1,1,1,1,0,6.0,1
15,0,10.0,0,1,1,1,0,6.0,1
11,1,8.0,0,1,1,1,0,6.0,1
7,1,2.0,0,1,1,1,0,6.0,1
4,0,0.0,0,1,1,1,0,6.0,1
1,1,0.0,0,1,1,1,0,6.0,1
72,1,16.0,0,1,0,1,0,16.0,0
60,1,5.0,1,1,1,1,1,5.0,0
75,0,3.0,0,1,0,1,0,3.0,1
48,0,8.0,1,1,0,1,1,8.0,1
30,1,9.0,1,1,0,1,1,8.0,1
32,1,11.0,1,1,0,1,1,8.0,1
34,0,8.0,0,1,1,1,0,8.0,1
16,1,8.0,1,1,1,1,0,8.0,1
12,1,8.0,0,1,1,1,0,8.0,1
9,1,4.0,0,1,1,1,0,8.0,1
40,0,23.0,1,1,0,1,1,23.0,1
39,0,15.0,1,1,0,1,1,23.0,1
10,0,5.0,0,1,0,1,1,23.0,1
59,1,8.0,1,1,0,0,1,8.0,0
54,0,13.0,1,1,0,0,1,8.0,0
54,1,10.0,1,1,0,1,1,10.0,0
18,0,13.0,0,1,0,1,1,10.0,0
21,1,12.0,0,1,0,1,1,10.0,0
17,0,13.0,0,1,0,1,1,10.0,0
23,1,13.0,1,1,0,1,1,13.0,0
16,0,12.0,0,1,0,1,1,15.0,1
8,0,4.0,0,1,0,1,1,15.0,1
83,0,16.0,0,1,0,1,0,16.0,1
50,1,9.0,1,1,0,1,1,9.0,0
69,1,2.0,0,1,0,1,0,2.0,0
25,1,13.0,1,1,0,1,0,2.0,0
43,0,13.0,1,1,0,1,1,13.0,1
15,0,11.0,0,1,0,1,1,13.0,1
11,1,6.0,0,1,0,1,1,13.0,1
36,0,19.0,1,1,0,0,1,19.0,1
80,1,8.0,0,1,0,0,0,8.0,0
70,0,8.0,0,1,0,0,0,8.0,0
66,0,8.0,1,1,0,0,0,8.0,0
46,1,19.0,1,1,0,1,1,19.0,0
19,1,13.0,0,1,0,1,1,19.0,0
16,0,13.0,0,1,0,1,1,19.0,0
49,0,13.0,1,1,0,1,1,19.0,0
44,1,10.0,1,1,0,1,1,10.0,0
38,0,13.0,1,1,0,1,1,10.0,0
71,1,19.0,0,1,0,1,0,19.0,0
38,0,16.0,1,1,0,1,0,19.0,0
10,0,5.0,0,1,0,1,0,19.0,0
1,0,0.0,0,1,0,1,0,19.0,0
78,0,5.0,0,1,0,1,0,5.0,1
49,1,13.0,1,1,0,1,1,13.0,0
76,1,19.0,1,1,0,1,1,19.0,0
57,1,13.0,0,1,0,1,1,19.0,0
25,1,17.0,0,1,0,1,1,19.0,0
67,0,19.0,1,1,0,1,1,19.0,1
26,1,13.0,1,0,0,1,1,13.0,0
25,1,8.0,1,0,0,1,1,13.0,0
59,1,13.0,1,0,0,1,1,13.0,0
35,1,16.0,1,1,0,0,1,19.0,1
3,0,0.0,0,1,0,1,1,19.0,1
6,0,1.0,0,1,0,1,1,19.0,1
31,0,16.0,1,1,0,1,1,16.0,1
7,1,2.0,0,1,0,1,1,16.0,1
15,1,11.0,0,1,0,1,0,8.0,0
96,1,0.0,0,1,0,1,0,0.0,0
54,0,16.0,1,1,0,1,1,13.0,0
32,1,10.0,1,1,0,1,1,10.0,0
55,1,19.0,1,1,0,1,1,19.0,0
18,1,11.0,0,1,0,1,1,19.0,0
28,0,13.0,0,0,1,1,0,13.0,1
32,1,8.0,1,0,1,1,0,13.0,1
9,1,4.0,0,0,1,1,0,13.0,1
1,1,0.0,0,0,1,1,0,13.0,1
34,1,13.0,1,1,0,1,1,13.0,0
32,0,13.0,0,1,0,1,1,13.0,0
58,0,8.0,1,1,0,1,1,8.0,1
32,0,13.0,1,1,0,1,1,8.0,1
2,1,0.0,0,1,0,1,1,8.0,1
60,1,8.0,1,1,0,0,0,9.0,1
22,0,13.0,0,0,0,1,0,9.0,1
79,0,8.0,0,1,0,1,0,8.0,1
43,0,9.0,1,0,0,1,0,8.0,1
33,1,15.0,1,1,0,1,1,15.0,0
32,0,13.0,0,0,0,1,1,15.0,0
51,0,9.0,0,0,0,0,0,9.0,1
77,1,8.0,0,1,0,1,0,8.0,0
76,1,8.0,1,1,0,1,1,8.0,0
42,0,11.0,1,1,1,1,1,11.0,1
34,0,8.0,1,0,1,1,1,8.0,1
14,1,9.0,0,0,1,1,1,8.0,1
12,1,8.0,0,0,1,1,1,8.0,1
13,0,8.0,0,1,0,1,1,13.0,0
6,0,1.0,0,1,0,1,1,13.0,0
11,0,0.0,0,1,0,1,1,15.0,0
59,0,19.0,1,0,0,1,1,19.0,1
67,0,2.0,0,1,1,1,0,2.0,1
39,0,13.0,1,0,1,1,0,2.0,1
24,1,0.0,0,1,1,1,0,2.0,1
12,1,8.0,0,1,1,1,0,2.0,1
54,0,8.0,0,1,0,1,0,8.0,1
26,1,13.0,1,0,0,1,0,8.0,1
64,0,8.0,0,1,0,1,0,8.0,1
30,1,13.0,1,1,0,1,0,8.0,1
34,1,11.0,1,1,0,1,1,11.0,0
31,1,11.0,1,0,0,1,1,11.0,0
73,1,8.0,0,1,0,0,0,8.0,0
71,0,12.0,0,1,0,0,0,8.0,0
43,0,14.0,0,0,0,1,0,8.0,0
45,0,13.0,1,1,0,1,1,13.0,0
18,0,13.0,0,1,0,1,1,13.0,0
5,0,0.0,0,1,0,1,1,13.0,0
86,0,8.0,0,1,0,1,0,8.0,1
67,1,8.0,0,1,0,1,0,8.0,1
72,0,11.0,0,1,0,1,0,11.0,1
49,1,13.0,1,1,0,1,1,13.0,0
19,1,12.0,0,0,0,1,1,10.0,1
28,0,10.0,0,0,0,1,1,10.0,1
43,0,16.0,0,0,0,1,0,16.0,1
12,1,7.0,0,1,0,1,0,16.0,1
45,0,10.0,1,1,0,1,1,10.0,1
15,0,11.0,0,1,0,1,1,10.0,1
28,0,10.0,1,1,1,1,1,10.0,1
9,0,3.0,0,1,1,1,1,10.0,1
49,0,10.0,1,1,0,1,1,10.0,1
34,1,12.0,0,1,0,1,1,10.0,1
2,1,0.0,0,0,1,1,0,9.0,0
57,1,8.0,1,0,1,1,1,8.0,0
35,1,3.0,1,1,1,1,1,3.0,0
41,1,19.0,1,1,0,1,0,8.0,0
46,1,11.0,1,1,0,1,1,11.0,0
47,0,11.0,1,1,0,1,1,11.0,0
20,0,13.0,0,1,0,1,1,11.0,0
7,1,3.0,0,1,0,1,1,11.0,0
35,1,9.0,0,0,1,0,0,9.0,0
40,0,9.0,0,0,1,0,0,9.0,0
21,0,11.0,0,0,1,1,0,9.0,0
19,0,13.0,1,0,1,1,0,9.0,0
15,0,11.0,0,0,1,1,0,9.0,0
10,1,4.0,0,0,1,1,0,9.0,0
74,0,7.0,0,1,0,0,0,6.0,0
73,0,8.0,0,1,0,1,0,8.0,1
36,1,13.0,1,1,0,1,0,8.0,1
30,0,16.0,1,1,0,1,1,16.0,1
9,0,4.0,0,1,0,1,1,16.0,1
55,0,13.0,1,1,0,1,0,8.0,1
61,0,13.0,0,1,0,1,0,13.0,1
36,0,16.0,1,1,0,1,0,13.0,1
34,1,13.0,1,1,0,1,1,13.0,0
82,1,6.0,0,1,0,0,0,6.0,0
25,1,19.0,1,1,0,1,1,19.0,0
24,0,14.0,0,1,0,1,1,19.0,0
28,0,13.0,1,1,0,1,1,13.0,1
25,1,8.0,1,1,0,1,1,13.0,1
19,1,13.0,0,1,0,1,1,13.0,1
8,1,3.0,0,1,0,1,1,13.0,1
14,0,10.0,0,1,0,1,1,13.0,0
47,1,13.0,1,1,0,0,1,13.0,0
40,0,13.0,1,1,0,0,1,13.0,0
23,0,15.0,0,1,0,1,1,13.0,0
21,1,13.0,1,1,0,1,1,13.0,0
62,1,17.0,0,1,0,0,0,17.0,0
61,0,13.0,0,1,0,0,0,17.0,0
38,0,13.0,1,1,0,1,0,17.0,0
22,1,12.0,1,1,0,1,0,17.0,0
10,1,6.0,0,1,0,1,0,17.0,0
8,0,3.0,0,0,0,1,1,9.0,1
14,0,8.0,0,0,0,1,1,9.0,1
13,1,8.0,0,1,1,1,0,4.0,1
13,1,8.0,0,1,1,1,0,4.0,1
7,1,2.0,0,1,1,1,0,4.0,1
30,1,11.0,1,1,0,1,1,11.0,0
22,0,10.0,0,0,0,1,1,11.0,0
3,0,0.0,0,0,0,1,1,11.0,0
63,1,10.0,1,1,0,1,1,11.0,0
49,0,15.0,1,1,0,1,1,15.0,1
16,0,12.0,0,1,0,1,1,15.0,1
23,0,13.0,0,0,0,1,1,15.0,1
28,0,9.0,1,0,0,1,1,9.0,1
32,0,9.0,1,1,0,1,1,9.0,1
33,0,8.0,0,0,1,1,1,3.0,0
15,1,11.0,0,1,1,1,1,3.0,0
8,0,3.0,0,1,1,1,1,3.0,0
6,1,2.0,0,1,1,1,1,3.0,0
4,1,0.0,0,1,1,1,1,3.0,0
59,1,8.0,0,1,0,1,0,8.0,0
84,0,8.0,0,1,0,1,0,8.0,0
74,0,8.0,0,1,0,1,0,8.0,1
1,1,0.0,0,1,0,1,1,19.0,0
9,0,4.0,0,0,1,1,1,11.0,1
34,1,16.0,1,1,0,1,1,16.0,0
33,0,16.0,0,1,0,1,1,16.0,0
9,0,5.0,0,1,0,1,1,16.0,0
4,0,0.0,0,1,0,1,1,16.0,0
64,0,2.0,0,1,0,1,0,2.0,1
51,1,8.0,1,0,0,1,1,8.0,0
18,1,13.0,1,0,0,1,1,8.0,0
9,0,5.0,0,0,0,1,1,8.0,0
81,0,16.0,0,1,0,1,0,16.0,1
42,1,13.0,1,1,0,1,0,16.0,1
53,0,19.0,1,1,0,0,1,19.0,1
60,1,16.0,0,1,0,0,1,19.0,1
39,0,11.0,1,0,1,1,1,11.0,1
75,1,13.0,0,1,0,1,0,13.0,0
65,1,13.0,1,1,0,1,0,13.0,0
61,0,8.0,0,1,0,1,0,8.0,1
23,1,16.0,1,1,0,1,0,8.0,1
72,0,4.0,0,1,1,1,0,4.0,1
46,0,8.0,0,0,1,0,0,4.0,1
46,1,8.0,1,1,1,0,0,4.0,1
18,1,13.0,0,1,1,1,0,4.0,1
16,1,9.0,0,1,1,1,0,4.0,1
12,0,6.0,0,0,0,1,1,9.0,1
23,1,13.0,1,1,0,1,1,13.0,0
66,0,13.0,0,1,0,1,0,13.0,1
35,1,10.0,1,1,0,1,0,13.0,1
38,1,19.0,1,1,0,1,1,19.0,0
7,1,2.0,0,1,0,1,1,19.0,0
28,0,11.0,1,0,1,1,1,11.0,1
70,0,0.0,1,1,0,1,1,0.0,1
52,1,19.0,1,1,0,0,1,19.0,0
51,0,16.0,1,1,0,0,1,19.0,0
21,0,15.0,0,1,0,1,1,19.0,0
62,1,19.0,0,1,0,0,0,19.0,0
61,0,19.0,0,1,0,0,0,19.0,0
55,0,8.0,1,1,0,1,1,8.0,1
22,1,13.0,1,1,0,1,1,8.0,1
15,0,10.0,0,1,0,1,1,8.0,1
38,1,19.0,1,1,0,1,1,19.0,0
38,0,19.0,1,1,0,1,1,19.0,0
10,1,5.0,0,1,0,1,1,19.0,0
7,0,2.0,0,1,0,1,1,19.0,0
4,0,0.0,0,1,0,1,1,19.0,0
9,0,4.0,0,0,1,1,1,11.0,1
6,0,2.0,0,0,1,1,1,11.0,1
40,0,4.0,0,0,1,1,0,4.0,1
14,0,3.0,0,0,1,1,0,4.0,1
41,1,13.0,1,0,0,0,1,13.0,0
38,0,12.0,0,0,0,0,1,13.0,0
18,0,13.0,0,0,0,1,1,13.0,0
84,1,8.0,0,1,0,1,0,8.0,0
73,1,10.0,0,1,0,0,0,10.0,0
72,0,13.0,0,1,0,0,0,10.0,0
36,1,15.0,1,1,0,1,0,10.0,0
63,1,11.0,1,1,0,1,1,11.0,0
45,0,13.0,1,1,0,1,1,13.0,1
35,1,13.0,1,1,0,1,1,13.0,1
16,1,9.0,0,1,0,1,1,13.0,1
31,0,19.0,1,1,0,1,1,19.0,1
10,1,5.0,0,1,0,1,1,19.0,1
34,0,13.0,1,1,0,1,1,13.0,1
48,1,13.0,1,1,0,0,1,13.0,0
50,0,16.0,1,1,0,0,1,13.0,0
12,1,8.0,0,1,0,1,1,13.0,0
27,0,16.0,1,1,0,1,0,19.0,0
63,0,12.0,0,1,0,1,0,12.0,1
19,1,13.0,0,1,0,1,0,12.0,1
52,0,16.0,1,1,0,1,1,16.0,1
78,0,11.0,0,0,1,1,0,11.0,1
40,0,15.0,0,0,1,1,0,11.0,1
69,1,13.0,0,1,0,0,0,13.0,0
70,0,19.0,0,1,0,0,0,13.0,0
44,0,19.0,0,1,1,0,0,19.0,1
50,1,19.0,1,1,1,0,0,19.0,1
13,1,9.0,0,1,1,1,0,19.0,1
20,1,15.0,0,1,1,1,0,19.0,1
6,1,0.0,0,1,1,1,0,19.0,1
71,1,3.0,0,1,0,0,0,3.0,0
64,0,0.0,0,1,0,0,0,3.0,0
61,1,13.0,0,0,0,1,0,3.0,0
28,1,16.0,1,1,0,1,1,16.0,0
29,0,16.0,1,1,0,1,1,16.0,0
2,1,0.0,0,1,0,1,1,16.0,0
28,1,13.0,1,1,0,1,1,16.0,0
32,1,19.0,1,1,0,0,1,19.0,0
25,0,13.0,1,1,0,1,1,13.0,1
60,1,8.0,1,1,1,1,1,8.0,0
14,1,9.0,0,0,0,1,1,13.0,0
10,1,6.0,0,0,0,1,1,13.0,0
42,1,11.0,1,0,0,1,1,11.0,0
38,0,19.0,1,1,0,0,1,13.0,0
15,1,11.0,0,1,0,1,1,13.0,0
10,0,6.0,0,1,0,1,1,13.0,0
24,0,16.0,1,1,0,1,1,16.0,1
29,0,13.0,1,1,0,1,1,13.0,1
31,1,9.0,1,1,0,1,1,13.0,1
9,1,5.0,0,1,0,1,1,13.0,1
76,0,16.0,0,1,0,0,0,16.0,1
76,1,13.0,0,1,0,0,0,16.0,1
37,1,13.0,1,1,0,0,1,13.0,0
70,1,15.0,0,1,0,0,0,15.0,0
73,0,13.0,0,1,0,0,0,15.0,0
73,0,16.0,0,1,0,0,0,15.0,0
52,1,11.0,1,1,0,1,1,11.0,0
27,1,13.0,0,0,0,1,1,11.0,0
17,1,13.0,1,0,0,1,1,13.0,0
19,0,13.0,1,1,0,1,1,13.0,0
68,1,13.0,0,1,0,1,0,13.0,0
76,1,4.0,0,1,0,1,0,4.0,0
32,0,16.0,1,1,0,0,1,19.0,0
2,1,0.0,0,1,0,1,1,19.0,0
73,1,15.0,0,1,0,0,0,15.0,0
12,1,8.0,0,0,1,1,1,8.0,0
9,0,5.0,0,0,1,1,1,8.0,0
7,0,4.0,0,0,1,1,1,8.0,0
50,1,13.0,1,1,0,0,1,13.0,0
28,1,13.0,1,1,0,1,1,13.0,0
14,0,9.0,0,1,0,1,1,13.0,0
62,1,16.0,0,1,0,0,0,16.0,0
61,0,13.0,0,1,0,0,0,16.0,0
58,0,10.0,0,1,1,1,1,8.0,0
39,0,0.0,0,0,1,1,1,8.0,0
15,1,9.0,0,0,1,1,1,8.0,0
70,0,17.0,0,1,0,1,0,17.0,1
41,1,13.0,1,0,0,1,0,17.0,1
33,0,19.0,1,1,0,1,1,19.0,1
5,0,0.0,0,1,0,1,1,19.0,1
42,1,13.0,1,1,0,1,1,13.0,0
12,1,9.0,0,1,0,1,1,13.0,0
41,1,9.0,1,1,0,1,1,9.0,0
29,0,13.0,1,1,0,1,1,9.0,0
12,0,7.0,0,1,0,1,1,9.0,0
6,0,2.0,0,1,0,1,1,9.0,0
4,1,0.0,0,1,0,1,1,9.0,0
30,0,19.0,1,1,0,1,1,19.0,1
54,0,13.0,1,1,0,1,1,13.0,1
31,0,18.0,1,1,0,1,1,18.0,1
27,1,13.0,1,1,0,1,1,18.0,1
15,0,11.0,0,1,0,1,1,13.0,0
10,1,5.0,0,1,0,1,1,13.0,0
52,1,13.0,1,1,0,0,1,13.0,0
39,0,11.0,0,1,0,0,1,13.0,0
69,1,13.0,1,1,0,0,1,13.0,0
69,0,19.0,0,1,0,0,1,13.0,0
94,0,3.0,0,1,0,1,1,13.0,0
22,0,13.0,0,1,0,1,1,13.0,0
72,1,8.0,0,1,0,0,0,8.0,0
69,0,8.0,0,1,0,0,0,8.0,0
30,1,13.0,1,1,0,1,0,8.0,0
85,0,2.0,0,1,0,1,0,2.0,1
72,1,19.0,0,1,0,1,0,19.0,0
29,1,16.0,0,1,1,1,0,16.0,0
9,1,2.0,0,1,0,1,1,19.0,0
7,0,2.0,0,1,0,1,1,19.0,0
42,0,16.0,1,1,0,0,1,16.0,1
46,1,13.0,1,1,0,0,1,16.0,1
10,0,6.0,0,1,0,1,1,16.0,1
69,1,4.0,0,1,1,1,0,4.0,0
71,0,16.0,0,1,1,1,0,4.0,0
45,1,19.0,1,1,0,1,1,19.0,0
45,0,19.0,1,1,0,1,1,19.0,0
9,1,4.0,0,1,0,1,1,19.0,0
44,0,15.0,1,1,0,1,1,15.0,1
46,0,13.0,1,0,0,1,1,15.0,1
32,0,19.0,1,1,0,1,1,19.0,1
53,0,13.0,1,1,0,0,1,10.0,0
16,1,11.0,0,1,0,1,1,10.0,0
47,1,12.0,1,0,0,0,1,12.0,0
47,0,0.0,0,0,0,0,1,12.0,0
27,1,18.0,0,0,0,1,1,12.0,0
24,1,13.0,0,0,0,1,1,12.0,0
53,1,10.0,1,1,0,0,1,10.0,0
51,1,19.0,1,1,0,1,1,19.0,0
59,0,13.0,1,1,0,1,1,13.0,1
65,0,11.0,1,1,0,1,1,11.0,1
40,0,23.0,1,1,0,1,1,23.0,1
50,1,11.0,1,1,0,1,1,11.0,0
19,1,12.0,0,1,0,1,1,13.0,1
17,1,12.0,0,1,0,1,1,13.0,1
13,0,9.0,0,1,0,1,1,13.0,1
10,1,5.0,0,1,0,1,1,13.0,1
40,0,13.0,1,1,0,0,1,13.0,1
42,1,13.0,1,1,0,0,1,13.0,1
22,1,15.0,0,1,0,1,1,13.0,1
44,0,13.0,1,1,0,1,1,11.0,0
18,0,13.0,0,1,0,1,1,11.0,0
7,0,3.0,0,1,0,1,1,11.0,0
53,0,19.0,1,1,0,1,1,19.0,1
57,1,11.0,0,1,0,1,1,19.0,1
26,1,13.0,1,1,0,1,1,19.0,1
8,0,4.0,0,1,0,1,1,19.0,1
28,0,12.0,1,1,0,1,1,19.0,1
36,1,8.0,1,1,0,1,1,8.0,0
56,0,13.0,0,1,0,1,1,8.0,0
13,1,9.0,0,1,1,1,1,10.0,0
1,1,0.0,0,1,1,1,1,10.0,0
40,0,13.0,1,1,0,1,1,13.0,1
3,0,0.0,0,1,0,1,1,13.0,1
78,0,8.0,0,1,0,1,0,8.0,1
33,1,10.0,1,1,1,1,1,10.0,0
32,0,13.0,1,1,1,1,1,10.0,0
14,1,10.0,0,1,1,1,1,10.0,0
5,1,1.0,0,1,1,1,1,10.0,0
80,1,8.0,0,1,0,1,0,8.0,0
33,1,13.0,1,0,0,1,1,13.0,0
31,0,13.0,1,1,0,1,1,13.0,0
32,1,13.0,1,1,0,1,1,13.0,0
43,0,10.0,1,1,0,1,1,10.0,1
54,1,8.0,0,0,0,1,0,8.0,0
72,1,13.0,0,1,1,0,0,13.0,0
68,0,0.0,0,1,1,0,0,13.0,0
29,0,14.0,1,0,1,1,0,13.0,0
61,1,19.0,1,1,0,1,1,19.0,0
15,1,11.0,0,1,0,1,1,19.0,0
73,1,8.0,0,1,0,0,0,8.0,0
67,0,8.0,0,1,0,0,0,8.0,0
24,1,13.0,1,1,0,1,0,9.0,1
68,0,8.0,0,1,0,1,0,8.0,1
32,1,1.0,1,0,1,1,0,9.0,1
16,0,8.0,0,1,1,1,0,9.0,1
14,0,9.0,0,1,1,1,0,9.0,1
10,0,4.0,0,1,1,1,0,9.0,1
17,1,8.0,0,1,1,1,0,9.0,1
32,0,9.0,0,0,1,1,0,9.0,1
11,1,6.0,0,1,0,1,1,15.0,0
8,1,3.0,0,1,0,1,1,15.0,0
33,1,15.0,1,1,0,1,1,15.0,0
35,0,16.0,1,1,0,1,1,15.0,0
15,1,12.0,0,1,0,1,1,15.0,0
19,1,12.0,1,0,0,1,1,12.0,0
39,0,14.0,1,0,0,1,1,14.0,1
68,1,16.0,0,1,1,0,0,16.0,0
37,1,13.0,1,1,0,1,1,16.0,1
4,0,0.0,0,1,1,1,0,13.0,0
6,0,2.0,0,1,1,1,0,13.0,0
17,1,11.0,0,0,1,1,0,13.0,0
55,1,11.0,1,1,0,0,1,11.0,0
51,0,11.0,1,1,0,0,1,11.0,0
24,0,15.0,1,1,0,1,1,11.0,0
16,0,13.0,0,1,0,1,1,11.0,0
56,0,9.0,0,1,0,0,0,9.0,1
57,1,9.0,1,1,0,0,0,9.0,1
74,1,13.0,0,1,0,0,0,13.0,0
73,0,13.0,0,1,0,0,0,13.0,0
62,1,13.0,1,1,0,1,1,13.0,0
62,0,13.0,0,1,0,1,0,13.0,1
26,1,13.0,1,1,0,1,0,13.0,1
67,0,16.0,0,1,1,0,0,16.0,0
26,1,13.0,0,0,1,0,0,16.0,0
26,1,17.0,0,0,1,0,0,16.0,0
37,0,13.0,1,1,0,1,1,13.0,1
15,0,10.0,0,1,0,1,1,13.0,1
24,0,13.0,0,0,1,1,1,13.0,1
13,1,9.0,0,1,1,1,1,13.0,1
44,0,13.0,1,0,1,1,1,13.0,1
27,1,13.0,1,0,1,1,1,13.0,1
43,1,13.0,1,1,0,1,0,8.0,0
71,1,8.0,0,1,0,1,0,8.0,0
66,1,8.0,0,1,0,1,0,8.0,0
38,0,16.0,1,1,0,1,1,16.0,1
59,1,13.0,1,1,0,0,1,13.0,0
54,0,8.0,1,1,0,0,1,13.0,0
12,0,7.0,0,1,0,1,1,13.0,0
38,0,19.0,1,1,0,1,1,19.0,1
12,1,7.0,0,1,0,1,1,19.0,1
7,1,3.0,0,1,0,1,1,19.0,1
47,1,11.0,1,1,0,1,1,11.0,0
51,0,13.0,1,1,0,1,1,11.0,0
34,0,13.0,1,1,0,1,1,13.0,1
78,0,2.0,0,1,0,0,0,2.0,1
84,1,3.0,0,1,0,0,0,2.0,1
53,1,11.0,1,1,0,1,1,11.0,0
51,0,9.0,1,1,1,1,1,9.0,1
60,0,8.0,1,1,0,1,1,8.0,1
28,1,13.0,1,0,0,1,1,8.0,1
71,1,8.0,0,1,0,1,0,8.0,0
64,0,8.0,0,1,0,1,0,8.0,0
30,0,13.0,0,1,0,1,0,8.0,0
21,0,14.0,0,1,0,1,1,13.0,0
16,1,10.0,0,1,0,1,1,13.0,0
10,1,5.0,0,1,0,1,1,13.0,0
76,1,13.0,0,1,0,0,0,13.0,0
80,0,13.0,0,1,0,0,0,13.0,0
42,1,13.0,1,1,0,0,1,13.0,0
42,0,16.0,1,1,0,0,1,13.0,0
30,1,16.0,1,1,0,0,1,16.0,0
29,0,16.0,1,1,0,0,1,16.0,0
8,1,3.0,0,1,0,1,1,16.0,0
5,1,0.0,0,1,0,1,1,16.0,0
43,0,16.0,1,1,0,1,1,16.0,1
22,1,16.0,1,1,0,1,1,16.0,1
20,1,15.0,0,1,0,1,1,16.0,1
71,0,6.0,0,1,0,1,0,6.0,1
77,0,16.0,0,1,0,1,0,16.0,1
44,1,13.0,1,1,0,1,0,16.0,1
41,1,13.0,1,1,0,1,1,13.0,1
16,0,9.0,0,1,0,1,1,13.0,1
13,1,7.0,0,1,0,1,1,13.0,1
69,1,13.0,0,1,0,1,0,13.0,0
42,1,15.0,1,1,0,1,1,15.0,0
12,1,7.0,0,1,0,1,1,15.0,0
39,0,15.0,1,1,0,1,1,15.0,1
9,0,4.0,0,1,0,1,1,15.0,1
54,1,8.0,1,0,0,0,1,8.0,0
46,0,9.0,1,1,0,0,1,8.0,0
44,1,13.0,1,1,0,0,1,13.0,0
44,0,13.0,1,1,0,0,1,13.0,0
10,0,4.0,0,1,0,1,1,13.0,0
7,0,2.0,0,1,0,1,1,13.0,0
78,0,3.0,0,1,0,0,0,3.0,1
37,1,16.0,1,1,0,1,1,16.0,0
52,0,8.0,1,1,0,0,1,8.0,1
55,1,19.0,1,1,0,0,1,8.0,1
20,1,13.0,1,1,0,1,1,8.0,1
12,1,7.0,0,1,0,1,1,8.0,1
45,0,11.0,1,1,0,1,1,11.0,1
6,1,0.0,0,1,0,1,1,11.0,1
7,0,2.0,0,1,0,1,1,11.0,1
34,1,13.0,1,0,0,1,1,13.0,0
19,0,14.0,0,1,1,1,0,19.0,1
18,0,13.0,0,1,1,1,0,19.0,1
86,1,11.0,0,1,1,1,0,19.0,1
66,0,13.0,0,1,0,1,0,13.0,1
55,0,13.0,0,1,0,1,1,13.0,0
83,0,8.0,0,1,0,1,1,13.0,0
15,1,10.0,0,1,0,1,1,13.0,0
49,1,13.0,1,1,0,1,1,13.0,0
48,0,19.0,0,1,1,1,0,19.0,1
36,1,16.0,1,0,0,1,1,16.0,0
54,1,8.0,1,0,0,1,1,8.0,0
53,0,13.0,0,1,1,1,0,13.0,1
29,0,11.0,0,1,1,1,0,13.0,1
10,0,5.0,0,1,1,1,0,13.0,1
7,1,2.0,0,1,1,1,0,13.0,1
1,1,0.0,0,1,1,1,0,13.0,1
44,1,13.0,1,1,0,1,1,13.0,0
